source_identifier,model,remote_files,parents,local_identifier,ark,acquisition_identifier,oclc,issn,isbn,title,alternative_title,abstract,table_of_contents,artist,date_created,date_issued,date_other,date_created_d,date_issued_d,date_other_d,publisher,utk_publisher,publication_place,utk_place_of_publication,note,extent,instrumentation,first_line,intended_audience,rights_statement,spatial,spatial_local,coordinates,temporal,call_number,bibliographic_citation,provider,intermediate_provider,repository,archival_collection,subject,keyword,form,resource_type,form_local,language,sheetmusic_hostitem,is_part_of
acwiley:392,Image,,collections:acwiley,0012_000458_000113 | cw0116119 | acwiley:392 | record_spc_4914,,,,,,Pencil drawn architectural sketch,,"Architectural study, pencils",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85006693 | http://id.loc.gov/authorities/subjects/sh85147447,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/zxx,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:448,Image,,collections:acwiley,0012_000458_000169 | cw0205184 | acwiley:448 | record_spc_4888,,,,,,Landscape sketches in charcoal,,"Landscape, charcoal",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85137260 | http://id.loc.gov/authorities/subjects/sh85147447 | http://id.loc.gov/vocabulary/graphicMaterials/tgm005790,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/zxx,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:343,Image,,collections:acwiley,0012_000458_000064 | cw010965 | acwiley:343 | record_spc_4853,,,,,,Pencil figure drawing of a woman,,"Figure study, pencils",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85147554 | http://id.loc.gov/authorities/subjects/sh85147447 | http://id.loc.gov/vocabulary/graphicMaterials/tgm003961,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/zxx,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:378,Image,,collections:acwiley,0012_000458_000099 | cw0113101 | acwiley:378 | record_spc_4900,,,,,,Pencil drawn nature study of dog,,"Canine figure study, pencils",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85005283 | http://id.loc.gov/authorities/subjects/sh85147447,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/zxx,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:424,Image,,collections:acwiley,0012_000458_000145 | cw0201158 | acwiley:424 | record_spc_4966,,,,,,Yearbook illustrations in ink: academic,,"Illustration, inks",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,Tennessee,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85149058 | http://id.loc.gov/authorities/subjects/sh85147447,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/eng,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:439,Image,,collections:acwiley,0012_000458_000160 | cw0202173 | acwiley:439 | record_spc_4981,,,,,,Yearbook illustrations in ink: class and year drawings,,"Illustration, inks",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,Tennessee,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85149058 | http://id.loc.gov/authorities/subjects/sh85147447,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/eng,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:401,Image,,collections:acwiley,0012_000458_000122 | cw0117128 | acwiley:401 | record_spc_4923,,,,,,Pencil drawn bookplate design,,"Bookplate design, pencils",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85015646 | http://id.loc.gov/authorities/subjects/sh85147447,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/eng,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:323,Image,,collections:acwiley,0012_000458_000044 | cw010645 | acwiley:323 | record_spc_4833,,,,,,Pencil drawn figure drawing of woman reclining,,"Reclining figure study, pencil",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85147554 | http://id.loc.gov/authorities/subjects/sh85147447 | http://id.loc.gov/vocabulary/graphicMaterials/tgm003961,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/zxx,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:346,Image,,collections:acwiley,0012_000458_000067 | cw010968 | acwiley:346 | record_spc_4856,,,,,,Pencil figure drawing of a woman,,"Figure study, pencils",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85147554 | http://id.loc.gov/authorities/subjects/sh85147447 | http://id.loc.gov/vocabulary/graphicMaterials/tgm003961,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/zxx,,https://n2t.net/ark:/87290/v8vx0dpf
acwiley:431,Image,,collections:acwiley,0012_000458_000152 | cw0201165 | acwiley:431 | record_spc_4973,,,,,,Yearbook illustrations in ink: academic,,"Illustration, inks",,http://id.loc.gov/authorities/names/nr92031762,1895-1897,,,1895/1897,,,,,,,,,,,,http://rightsstatements.org/vocab/InC/1.0/,,Tennessee,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Anna Catherine Wiley Sketches Collection, MS.1287",http://id.loc.gov/authorities/subjects/sh85149058 | http://id.loc.gov/authorities/subjects/sh85147447,,http://vocab.getty.edu/aat/300015617,http://id.loc.gov/vocabulary/resourceTypes/img,,http://id.loc.gov/vocabulary/iso639-2/eng,,https://n2t.net/ark:/87290/v8vx0dpf
